x,y,z,created,thing
-3.0,87.0,284.0,2015-05-16 18:54:38.135000+00:00,tight-respect
3.0,85.0,276.0,2015-05-16 18:54:39.428000+00:00,tight-respect
-4.0,86.0,300.0,2015-05-16 18:54:40.015000+00:00,tight-respect
-2.0,86.0,306.0,2015-05-16 18:54:41.165000+00:00,tight-respect
-3.0,86.0,305.0,2015-05-16 18:54:41.918000+00:00,tight-respect
2.0,86.0,291.0,2015-05-16 18:54:43.143000+00:00,tight-respect
-2.0,83.0,293.0,2015-05-16 18:54:43.910000+00:00,tight-respect
-2.0,83.0,290.0,2015-05-16 18:54:45.044000+00:00,tight-respect
-1.0,82.0,301.0,2015-05-16 18:54:45.917000+00:00,tight-respect
-3.0,83.0,304.0,2015-05-16 18:54:46.919000+00:00,tight-respect
-2.0,88.0,283.0,2015-05-16 18:54:47.905000+00:00,tight-respect
178.0,87.0,279.0,2015-05-16 18:54:48.925000+00:00,tight-respect
-179.0,87.0,291.0,2015-05-16 18:54:49.943000+00:00,tight-respect
-179.0,88.0,296.0,2015-05-16 18:54:50.907000+00:00,tight-respect
179.0,88.0,279.0,2015-05-16 18:54:51.903000+00:00,tight-respect
-176.0,85.0,298.0,2015-05-16 18:54:52.915000+00:00,tight-respect
-176.0,85.0,304.0,2015-05-16 18:54:53.930000+00:00,tight-respect
-179.0,88.0,294.0,2015-05-16 18:54:54.992000+00:00,tight-respect
-176.0,85.0,300.0,2015-05-16 18:54:55.946000+00:00,tight-respect
-179.0,87.0,303.0,2015-05-16 18:54:56.921000+00:00,tight-respect
177.0,85.0,272.0,2015-05-16 18:54:57.900000+00:00,tight-respect
179.0,86.0,286.0,2015-05-16 18:54:58.912000+00:00,tight-respect
-5.0,83.0,314.0,2015-05-16 18:54:59.919000+00:00,tight-respect
179.0,88.0,283.0,2015-05-16 18:55:00.918000+00:00,tight-respect
-3.0,86.0,300.0,2015-05-16 18:55:02.072000+00:00,tight-respect
4.0,85.0,267.0,2015-05-16 18:55:02.933000+00:00,tight-respect
-1.0,85.0,308.0,2015-05-16 18:55:03.977000+00:00,tight-respect
-1.0,86.0,300.0,2015-05-16 18:55:04.916000+00:00,tight-respect
-2.0,85.0,288.0,2015-05-16 18:55:05.920000+00:00,tight-respect
-3.0,86.0,301.0,2015-05-16 18:55:06.959000+00:00,tight-respect
-1.0,88.0,298.0,2015-05-16 18:55:07.930000+00:00,tight-respect
1.0,87.0,282.0,2015-05-16 18:55:08.932000+00:00,tight-respect
-3.0,85.0,306.0,2015-05-16 18:55:09.925000+00:00,tight-respect
12.0,30.0,96.0,2015-05-16 18:55:10.933000+00:00,tight-respect
-68.0,-18.0,38.0,2015-05-16 18:55:11.913000+00:00,tight-respect
-36.0,20.0,30.0,2015-05-16 18:55:12.914000+00:00,tight-respect
-20.0,-6.0,84.0,2015-05-16 18:55:13.920000+00:00,tight-respect
-11.0,6.0,296.0,2015-05-16 18:55:14.895000+00:00,tight-respect
-3.0,-4.0,287.0,2015-05-16 18:55:15.918000+00:00,tight-respect
4.0,-5.0,278.0,2015-05-16 18:55:16.916000+00:00,tight-respect
2.0,-1.0,279.0,2015-05-16 18:55:17.913000+00:00,tight-respect
4.0,-1.0,278.0,2015-05-16 18:55:18.993000+00:00,tight-respect
