athlete,hour,minute,x_a,y_a,z_a,diff_x_a,diff_y_a,diff_z_a,second_a
Mike,1,1,-51,61,177,4,1,1,58
Mike,1,2,-50,78,189,2,0,-1,55
Mike,1,3,-50,88,196,-3,1,2,34
Mike,1,4,-59,56,386,2,-1,-1,56
Mike,1,5,-47,88,117,-1,0,-2,43
Mike,1,6,-41,83,360,4,1,-1,60
Mike,1,7,-45,40,124,-3,0,0,30
Mike,1,8,-45,47,174,-2,1,-2,49
Mike,1,9,-44,81,292,3,0,2,36
Mike,1,10,-43,50,138,-4,-1,1,39
Mike,1,11,-50,74,185,1,-1,-1,48
Mike,1,12,-49,43,128,-5,-1,-1,41
Mike,1,13,-52,63,207,0,-1,2,52
Mike,1,14,-45,72,360,2,-1,-2,46
Mike,1,15,-48,61,228,0,0,-2,49
Mike,1,16,-45,51,140,0,-1,1,49
Mike,1,17,-57,60,346,-2,0,-1,60
Mike,1,18,-43,64,270,1,0,1,42
Mike,1,19,-50,70,259,-5,-1,-2,49
Mike,1,20,-52,85,286,5,-1,1,56
Mike,1,21,-42,52,299,5,-1,-2,44
Mike,1,22,-48,78,148,4,1,-1,34
Mike,1,23,-56,40,174,-3,-1,1,42
Mike,1,24,-53,73,262,3,-1,-1,59
Mike,1,25,-59,43,186,-4,1,-2,60
Mike,1,26,-60,81,169,1,0,-1,50
Mike,1,27,-46,76,168,3,-1,0,55
Mike,1,28,-56,41,330,2,0,-1,30
Mike,1,29,-48,57,200,-3,1,0,36
Mike,1,30,-40,69,134,5,-1,-1,43
Mike,1,31,-50,77,163,2,-1,-1,60
Mike,1,32,-55,69,280,3,1,-1,36
Mike,1,33,-41,58,342,3,-1,-1,34
Mike,1,34,-44,85,194,1,0,-1,34
Mike,1,35,-57,83,249,4,-1,-1,47
Mike,1,36,-47,79,344,4,1,1,45
Mike,1,37,-48,76,146,0,1,0,52
Mike,1,38,-41,73,106,-3,1,0,55
Mike,1,39,-58,64,178,-5,0,-1,39
Mike,1,40,-52,41,396,-1,1,0,37
Mike,1,41,-42,71,314,2,-1,0,48
Mike,1,42,-48,68,266,-4,-1,-1,45
Mike,1,43,-49,84,265,5,-1,-1,35
Mike,1,44,-53,69,282,3,1,-1,53
Mike,1,45,-60,60,271,4,-1,1,44
Mike,1,46,-47,42,312,3,-1,1,59
Mike,1,47,-59,49,334,-1,1,-2,45
Mike,1,48,-57,88,247,3,0,0,49
Mike,1,49,-54,63,255,0,1,1,48
Mike,1,50,-43,56,238,-2,1,0,56
Mike,1,51,-54,77,297,4,0,-2,45
Mike,1,52,-52,79,229,-2,-1,2,54
Mike,1,53,-40,78,359,-5,1,2,42
Mike,1,54,-47,41,269,-2,-1,-2,31
Mike,1,55,-43,62,380,-4,-1,1,55
Mike,1,56,-57,73,164,-4,-1,2,40
Mike,1,57,-57,56,125,2,1,2,48
Mike,1,58,-60,83,314,-1,0,1,30
Mike,1,59,-45,40,287,-3,-1,-2,45
Mike,1,60,-47,42,317,-1,-1,-1,57
Mike,2,1,-54,68,127,5,1,-1,41
Mike,2,2,-46,84,238,-2,-1,-1,59
Mike,2,3,-55,80,327,5,-1,1,60
Mike,2,4,-43,57,287,4,1,-1,44
Mike,2,5,-58,69,217,-4,0,0,39
Mike,2,6,-54,42,156,0,-1,-2,44
Mike,2,7,-60,89,337,0,0,-2,56
Mike,2,8,-59,82,396,0,-1,-1,49
Mike,2,9,-40,43,268,-4,0,-1,55
Mike,2,10,-55,48,135,1,-1,-2,53
Mike,2,11,-44,68,317,4,0,-2,57
Mike,2,12,-41,41,351,5,1,2,31
Mike,2,13,-58,48,293,5,1,-2,47
Mike,2,14,-41,86,156,3,-1,2,57
Mike,2,15,-43,48,118,1,-1,0,30
Mike,2,16,-55,68,298,-2,1,1,32
Mike,2,17,-41,51,296,-4,1,-1,31
Mike,2,18,-60,77,345,-5,1,-2,51
Mike,2,19,-49,66,340,0,-1,0,33
Mike,2,20,-56,84,182,1,0,2,49
Mike,2,21,-57,81,360,-5,-1,1,45
Mike,2,22,-42,60,242,5,0,-1,58
Mike,2,23,-57,45,121,-1,1,-1,38
Mike,2,24,-43,74,398,-1,-1,1,49
Mike,2,25,-50,58,160,3,0,-1,35
Mike,2,26,-54,77,222,5,-1,-1,54
Mike,2,27,-42,56,361,3,1,-2,52
Mike,2,28,-58,59,275,1,1,0,41
Mike,2,29,-40,56,122,-5,0,2,41
Mike,2,30,-44,70,181,2,-1,-1,56
Mike,2,31,-41,63,293,-3,1,2,52
Mike,2,32,-46,71,367,3,-1,1,60
Mike,2,33,-50,76,340,2,-1,-2,33
Mike,2,34,-55,72,204,5,0,2,34
Mike,2,35,-42,76,178,-5,0,-1,37
Mike,2,36,-46,56,261,4,1,-2,56
Mike,2,37,-58,51,333,5,1,1,55
Mike,2,38,-40,59,394,5,1,1,57
Mike,2,39,-41,85,130,5,0,-2,58
Mike,2,40,-58,40,190,2,0,0,46
Mike,2,41,-53,63,183,2,-1,-2,46
Mike,2,42,-41,88,360,-2,0,-1,49
Mike,2,43,-59,44,235,5,-1,1,32
Mike,2,44,-55,61,297,1,1,-2,52
Mike,2,45,-46,56,270,-3,0,0,51
Mike,2,46,-43,42,249,1,1,1,30
Mike,2,47,-44,50,142,5,1,1,37
Mike,2,48,-57,58,387,-2,1,0,58
Mike,2,49,-59,81,162,-3,1,0,43
Mike,2,50,-43,73,328,-2,1,2,37
Mike,2,51,-60,64,339,-5,-1,-2,55
Mike,2,52,-49,52,258,4,1,-2,37
Mike,2,53,-49,47,236,-1,0,2,44
Mike,2,54,-46,79,290,-4,1,-2,57
Mike,2,55,-55,58,160,3,0,-1,45
Mike,2,56,-48,88,303,3,0,-2,31
Mike,2,57,-53,72,144,-4,1,-1,60
Mike,2,58,-44,72,257,3,-1,2,50
Mike,2,59,-54,81,225,-1,0,0,38
Mike,2,60,-54,83,318,-1,1,1,42
Mike,3,1,-46,84,318,-5,-1,1,48
